gamma1,gamma2,alpha,nu
-0.7959183673469388,2.4489795918367343,-1.494616743070218,8.088606588361774
-0.7959183673469388,2.530612244897959,-1.4587510627928024,7.901042066938299
-0.7959183673469388,2.6122448979591835,-1.425009182952569,7.72970489847632
-0.7959183673469388,2.693877551020408,-1.3932119904493032,7.572603100164269
-0.7959183673469388,2.7755102040816326,-1.3631998195996928,7.428054517697142
-0.7959183673469388,2.8571428571428568,-1.334829882123272,7.29462928018301
-0.7959183673469388,2.9387755102040813,-1.3079740960687372,7.1711045676906915
-0.7959183673469388,3.020408163265306,-1.282517242563345,7.056428729001107
-0.7959183673469388,3.1020408163265305,-1.2583553944339079,6.949692564766008
-0.7959183673469388,3.1836734693877546,-1.2353945684597427,6.850106194984859
-0.7959183673469388,3.265306122448979,-1.213549567998368,6.7569802459598325
-0.7959183673469388,3.346938775510204,-1.1927429827072487,6.669710480026868
-0.7959183673469388,3.4285714285714284,-1.1729043218899964,6.587765144706161
-0.7959183673469388,3.510204081632653,-1.1539692618356412,6.510674492612419
-0.7959183673469388,3.591836734693877,-1.135878987483576,6.438022072447358
-0.7959183673469388,3.6734693877551017,-1.1185796184330619,6.369437423709955
-0.7959183673469388,3.7551020408163263,-1.1020217041583542,6.304589942362259
-0.7959183673469388,3.836734693877551,-1.0861597800905398,6.243183695236519
-0.7959183673469388,3.9183673469387754,-1.0709519759559352,6.184953018905231
-0.7959183673469388,4.0,-1.0563596693357784,6.129658768603085
-0.7448979591836735,0.0,-1.9615209840818928,336.7939983994253
-0.7448979591836735,0.08163265306122448,-2.142995880859001,321.4016489406856
-0.7448979591836735,0.16326530612244897,-2.245802996838193,337.9301564683539
-0.7448979591836735,0.24489795918367346,-2.405239798894315,342.64344138617935
-0.7448979591836735,0.32653061224489793,-2.604379040489377,307.250306658641
-0.7448979591836735,0.4081632653061224,-2.817979150857546,331.8465784929386
-0.7448979591836735,0.4897959183673469,-3.0386263566115783,333.4267839920809
-0.7448979591836735,0.5714285714285714,-3.3349129925526144,316.9219785888093
-0.7448979591836735,0.6530612244897959,-3.3746004641422407,133.36812693439668
-0.7448979591836735,0.7346938775510203,-3.129975278565271,59.436922959020265
-0.7448979591836735,0.8163265306122448,-2.922019857243871,39.015486572630614
-0.7448979591836735,0.8979591836734693,-2.7426520531848504,29.463229068164996
-0.7448979591836735,0.9795918367346939,-2.5861166178216743,23.93589539826633
-0.7448979591836735,1.0612244897959182,-2.448178886957545,20.338185762916062
-0.7448979591836735,1.1428571428571428,-2.3256370474877213,17.81371815700747
-0.7448979591836735,1.2244897959183672,-2.216014139593376,15.94726266043848
-0.7448979591836735,1.3061224489795917,-2.1173563558268174,14.51309049026708
-0.7448979591836735,1.3877551020408163,-2.0280967480984837,13.37794897527541
-0.7448979591836735,1.4693877551020407,-1.94696057260929,12.458114093105921
-0.7448979591836735,1.5510204081632653,-1.8728979362036737,11.698344703365043
-0.7448979591836735,1.6326530612244896,-1.8050348187191352,11.060728085171235
-0.7448979591836735,1.7142857142857142,-1.7426367572939467,10.518386759837624
-0.7448979591836735,1.7959183673469385,-1.6850814431869765,10.051742003611778
-0.7448979591836735,1.8775510204081631,-1.6318377154941008,9.646198962211823
-0.7448979591836735,1.9591836734693877,-1.5824492284621043,9.290659887958558
-0.7448979591836735,2.0408163265306123,-1.5365215901670792,8.976539291326093
-0.7448979591836735,2.1224489795918364,-1.4937121185156963,8.697093845251485
-0.7448979591836735,2.204081632653061,-1.4537215980240656,8.446955624165756
-0.7448979591836735,2.2857142857142856,-1.4162875853848584,8.221800173413385
-0.7448979591836735,2.36734693877551,-1.3811789277079656,8.018106074401132
-0.7448979591836735,2.4489795918367343,-1.3481912401617897,7.8329778913931145
-0.7448979591836735,2.530612244897959,-1.3171431497278203,7.664013847116003
-0.7448979591836735,2.6122448979591835,-1.2878731561843744,7.509205584666663
-0.7448979591836735,2.693877551020408,-1.2602369938234645,7.366861314680179
-0.7448979591836735,2.7755102040816326,-1.2341054026015024,7.235546225766671
-0.7448979591836735,2.8571428571428568,-1.2093622365383092,7.1140357999261115
-0.7448979591836735,2.9387755102040813,-1.1859028498439128,7.001278919998947
-0.7448979591836735,3.020408163265306,-1.163632716067566,6.896368423255805
-0.7448979591836735,3.1020408163265305,-1.1424662405146884,6.798517439272042
-0.7448979591836735,3.1836734693877546,-1.122325735721982,6.707040220173621
-0.7448979591836735,3.265306122448979,-1.1031405343802088,6.621336504515139
-0.7448979591836735,3.346938775510204,-1.0848462186529768,6.540878680759575
-0.7448979591836735,3.4285714285714284,-1.0673839487995984,6.465201181630471
-0.7448979591836735,3.510204081632653,-1.0506998757271913,6.393891679464748
-0.7448979591836735,3.591836734693877,-1.0347446266214335,6.326583725996871
-0.7448979591836735,3.6734693877551017,-1.0194728524078516,6.262950577343264
-0.7448979591836735,3.7551020408163263,-1.004842828941878,6.202699984522262
-0.7448979591836735,3.836734693877551,-0.9908161045758008,6.145569779280306
-0.7448979591836735,3.9183673469387754,-0.9773571879424355,6.091324117679926
-0.7448979591836735,4.0,-0.9644332707107367,6.039750270347
-0.6938775510204082,0.0,-1.9126886973224582,320.61044664646704
-0.6938775510204082,0.08163265306122448,-1.9979695809984575,337.2792603839771
-0.6938775510204082,0.16326530612244897,-2.1422455685453725,337.49960850496035
-0.6938775510204082,0.24489795918367346,-2.2943777583741642,329.5076294929451
-0.6938775510204082,0.32653061224489793,-2.4662600081021733,330.13205829725445
-0.6938775510204082,0.4081632653061224,-3.431988320877938,317.70515233092857
-0.6938775510204082,0.4897959183673469,-2.8882029630297157,321.3036774485413
-0.6938775510204082,0.5714285714285714,-3.081110506704357,231.19568762827257
-0.6938775510204082,0.6530612244897959,-2.8666303852781336,70.2181896608792
-0.6938775510204082,0.7346938775510203,-2.6822556049890376,42.43253670087324
-0.6938775510204082,0.8163265306122448,-2.5218426395716302,30.92989462935143
-0.6938775510204082,0.8979591836734693,-2.3808935503132633,24.65202638401003
-0.6938775510204082,0.9795918367346939,-2.2560198204915873,20.704901323665446
-0.6938775510204082,1.0612244897959182,-2.1446069661762626,17.99819945609907
-0.6938775510204082,1.1428571428571428,-2.0445966674522285,16.029543231402005
-0.6938775510204082,1.2244897959183672,-1.9543405511862666,14.535288148133448
-0.6938775510204082,1.3061224489795917,-1.8724992079863616,13.363787211707615
-0.6938775510204082,1.3877551020408163,-1.7979706466321963,12.421644278651922
-0.6938775510204082,1.4693877551020407,-1.7298384314346809,11.648208966230698
-0.6938775510204082,1.5510204081632653,-1.6673333059002537,11.002393515763211
-0.6938775510204082,1.6326530612244896,-1.6098042666850731,10.45538361358572
-0.6938775510204082,1.7142857142857142,-1.556696397925308,9.986381847250106
-0.6938775510204082,1.7959183673469385,-1.5075336343813481,9.580007114089108
-0.6938775510204082,1.8775510204081631,-1.4619051815974438,9.224644102098912
-0.6938775510204082,1.9591836734693877,-1.4194546930031884,8.911361139494655
-0.6938775510204082,2.0408163265306123,-1.3798715557012404,8.633180481808388
-0.6938775510204082,2.1224489795918364,-1.3428838102606042,8.384574046201893
-0.6938775510204082,2.204081632653061,-1.3082523515583464,8.161107342675644
-0.6938775510204082,2.2857142857142856,-1.275766144492428,7.9591831931869965
-0.6938775510204082,2.36734693877551,-1.2452382511735416,7.775854099672203
-0.6938775510204082,2.4489795918367343,-1.2165025125273703,7.608682739920789
-0.6938775510204082,2.530612244897959,-1.1894107613623164,7.45563681213514
-0.6938775510204082,2.6122448979591835,-1.1638304701765128,7.3150087585584975
-0.6938775510204082,2.693877551020408,-1.1396427568561012,7.185353773074278
-0.6938775510204082,2.7755102040816326,-1.1167406859414588,7.065441438886409
-0.6938775510204082,2.8571428571428568,-1.0950278165310352,6.954217609906133
-0.6938775510204082,2.9387755102040813,-1.0744169556325225,6.85077411569636
-0.6938775510204082,3.020408163265306,-1.0548290842434112,6.754324476677522
-0.6938775510204082,3.1020408163265305,-1.0361924289640723,6.6641842889102225
-0.6938775510204082,3.1836734693877546,-1.0184416567213057,6.579755267443323
-0.6938775510204082,3.265306122448979,-1.0015171742713622,6.500512176135409
-0.6938775510204082,3.346938775510204,-0.985364516429558,6.425992061933735
-0.6938775510204082,3.4285714285714284,-0.9699338110136846,6.355785324984823
-0.6938775510204082,3.510204081632653,-0.9551793089340413,6.289528278605982
-0.6938775510204082,3.591836734693877,-0.9410589706538903,6.226896914697184
-0.6938775510204082,3.6734693877551017,-0.9275341012596922,6.167601654191705
-0.6938775510204082,3.7551020408163263,-0.9145690276192288,6.1113829063008325
-0.6938775510204082,3.836734693877551,-0.9021308120832898,6.058007295340052
-0.6938775510204082,3.9183673469387754,-0.8901889980031217,6.0072644413291165
-0.6938775510204082,4.0,-0.8787153830203868,5.95896420213684
-0.6428571428571428,0.0,-1.7921775513255027,321.23679374232034
-0.6428571428571428,0.08163265306122448,-1.9108302855983814,331.09333284185715
-0.6428571428571428,0.16326530612244897,-2.046460240639634,341.12137619048866
-0.6428571428571428,0.24489795918367346,-2.1925503725067275,335.2225658862949
-0.6428571428571428,0.32653061224489793,-2.355463822711517,333.9737806500838
-0.6428571428571428,0.4081632653061224,-2.5415313639807597,336.0641494215537
-0.6428571428571428,0.4897959183673469,-2.7476288870476075,339.9956617547209
-0.6428571428571428,0.5714285714285714,-2.6468001189504275,89.42502800718376
-0.6428571428571428,0.6530612244897959,-2.4789928350155006,47.42154340425785
-0.6428571428571428,0.7346938775510203,-2.332176160466183,32.943430241368105
-0.6428571428571428,0.8163265306122448,-2.202621088530551,25.625860541432736
-0.6428571428571428,0.8979591836734693,-2.0874658357674813,21.218110784272657
-0.6428571428571428,0.9795918367346939,-1.984466654420875,18.277460955362685
-0.6428571428571428,1.0612244897959182,-1.8918325252816688,16.179177282334795
-0.6428571428571428,1.1428571428571428,-1.8081120844795584,14.608786239517725
-0.6428571428571428,1.2244897959183672,-1.73211412309181,13.39076724777771
